DATE,consumer_loans
15/12/2004,290.9606
22/12/2004,296.9349
29/12/2004,309.0006
05/01/2005,309.0221
12/01/2005,305.4378
19/01/2005,304.1594
26/01/2005,302.7418
02/02/2005,298.0653
09/02/2005,294.2591
16/02/2005,301.2313
23/02/2005,301.2587
02/03/2005,300.9477
09/03/2005,298.2637
16/03/2005,300.1047
23/03/2005,299.8646
30/03/2005,300.3723
06/04/2005,299.7768
13/04/2005,298.4395
20/04/2005,303.2952
27/04/2005,304.1654
04/05/2005,299.6055
11/05/2005,297.2681
18/05/2005,300.8973
25/05/2005,299.8158
01/06/2005,298.428
08/06/2005,298.9753
15/06/2005,302.151
22/06/2005,304.4701
29/06/2005,301.8983
06/07/2005,300.7432
13/07/2005,300.5992
20/07/2005,304.3979
27/07/2005,304.8071
03/08/2005,301.8788
10/08/2005,301.3663
17/08/2005,302.8237
24/08/2005,303.0877
31/08/2005,300.923
07/09/2005,300.9769
14/09/2005,305.4887
21/09/2005,306.3264
28/09/2005,306.0098
05/10/2005,294.8692
12/10/2005,293.3837
19/10/2005,295.5096
26/10/2005,298.0299
02/11/2005,299.5839
09/11/2005,297.6605
16/11/2005,301.8578
23/11/2005,301.733
30/11/2005,299.1979
07/12/2005,297.9747
14/12/2005,304.353
21/12/2005,303.7649
28/12/2005,305.7271
04/01/2006,303.425
11/01/2006,300.72
18/01/2006,304.8713
25/01/2006,304.0656
01/02/2006,297.8111
08/02/2006,296.4638
15/02/2006,297.9692
22/02/2006,296.7072
01/03/2006,293.1394
08/03/2006,291.1893
15/03/2006,290.8893
22/03/2006,293.6604
29/03/2006,293.0862
05/04/2006,289.9366
12/04/2006,293.4741
19/04/2006,295.9033
26/04/2006,298.3763
03/05/2006,297.017
10/05/2006,298.0514
17/05/2006,303.7928
24/05/2006,304.6158
31/05/2006,301.9649
07/06/2006,298.5788
14/06/2006,301.8542
21/06/2006,296.5287
28/06/2006,296.7753
05/07/2006,297.7775
12/07/2006,296.0625
19/07/2006,303.0572
26/07/2006,302.4431
02/08/2006,299.9571
09/08/2006,300.6577
16/08/2006,304.1253
23/08/2006,306.6318
30/08/2006,304.4239
06/09/2006,304.6411
13/09/2006,303.517
20/09/2006,304.7688
27/09/2006,303.5428
04/10/2006,300.9848
11/10/2006,300.7532
18/10/2006,300.6264
25/10/2006,300.1184
01/11/2006,300.4561
08/11/2006,300.7829
15/11/2006,302.8814
22/11/2006,304.1527
29/11/2006,305.5923
06/12/2006,307.8128
13/12/2006,311.6661
20/12/2006,312.944
27/12/2006,315.8283
03/01/2007,315.1607
10/01/2007,314.6136
17/01/2007,316.9192
24/01/2007,317.8596
31/01/2007,312.0237
07/02/2007,311.3771
14/02/2007,314.9896
21/02/2007,311.8893
28/02/2007,302.8616
07/03/2007,303.0557
14/03/2007,301.9126
21/03/2007,303.8652
28/03/2007,302.4373
04/04/2007,304.5242
11/04/2007,305.8705
18/04/2007,308.9634
25/04/2007,310.2454
02/05/2007,308.9462
09/05/2007,308.6082
16/05/2007,310.8031
23/05/2007,310.8265
30/05/2007,313.3417
06/06/2007,312.3331
13/06/2007,314.2896
20/06/2007,317.971
27/06/2007,316.4696
04/07/2007,316.3778
