DATE,consumer_price_idx
01/01/1983,5.0146534
01/02/1983,4.952545117
01/03/1983,3.612260556
01/04/1983,4.828054152
01/05/1983,3.767326298
01/06/1983,2.441297751
01/07/1983,3.69758219
01/08/1983,4.896990368
01/09/1983,4.837827872
01/10/1983,4.709706722
01/11/1983,4.882071736
01/12/1983,3.626765694
01/01/1984,4.852490457
01/02/1984,4.632377429
01/03/1984,3.923226163
01/04/1984,4.47375382
01/05/1984,3.397504804
01/06/1984,4.540476405
01/07/1984,4.709706722
01/08/1984,4.691308114
01/09/1984,4.47687654
01/10/1984,3.496534119
01/11/1984,2.60802525
01/12/1984,3.520313904
01/01/1985,3.074902723
01/02/1985,5.603397506
01/03/1985,4.714338131
01/04/1985,4.493616325
01/05/1985,3.30709307
01/06/1985,4.937368526
01/07/1985,2.431483442
01/08/1985,3.459635635
01/09/1985,3.449608018
01/10/1985,3.462854485
01/11/1985,5.392038711
01/12/1985,3.083169607
01/01/1986,4.423300377
01/02/1986,3.170191096
01/03/1986,4.386848149
01/04/1986,4.169624405
01/05/1986,2.242973307
01/06/1986,3.394287817
01/07/1986,4.019606265
01/08/1986,3.282863636
01/09/1986,4.001443112
01/10/1986,4.170621039
01/11/1986,4.605737233
01/12/1986,3.927452734
01/01/1987,5.358297846
01/02/1987,3.337758064
01/03/1987,3.798985575
01/04/1987,4.73286577
01/05/1987,4.506360417
01/06/1987,2.868557467
01/07/1987,4.187814481
01/08/1987,3.313027603
01/09/1987,5.227581401
01/10/1987,3.784955092
01/11/1987,3.32526844
01/12/1987,2.840113035
01/01/1988,3.318591387
01/02/1988,2.90883517
01/03/1988,4.419180052
01/04/1988,4.737497993
01/05/1988,3.413591238
01/06/1988,4.673037474
01/07/1988,4.570726716
01/08/1988,5.273484963
01/09/1988,5.009382069
01/10/1988,4.272697735
01/11/1988,2.956645472
01/12/1988,3.950079874
01/01/1989,4.681421776
01/02/1989,5.209476425
01/03/1989,5.034610401
01/04/1989,4.879063021
01/05/1989,5.388009274
01/06/1989,3.855001158
01/07/1989,5.814260244
01/08/1989,2.855873684
01/09/1989,3.472882908
01/10/1989,5.169128098
01/11/1989,4.162523764
01/12/1989,3.770181376
01/01/1990,5.216139935
01/02/1990,4.981650393
01/03/1990,5.25046788
01/04/1990,5.314373822
01/05/1990,3.966493807
01/06/1990,5.627999311
01/07/1990,5.302671688
01/08/1990,5.665606063
01/09/1990,2.816722708
01/10/1990,4.553350484
01/11/1990,3.613996115
01/12/1990,5.055826119
01/01/1991,5.562784486
01/02/1991,4.355024175
01/03/1991,3.655285369
01/04/1991,3.372761236
01/05/1991,4.468507632
01/06/1991,2.901936412
01/07/1991,4.442030312
01/08/1991,3.089832465
01/09/1991,4.065400078
01/10/1991,2.335350136
01/11/1991,4.291777169
01/12/1991,2.645996956
01/01/1992,1.732730355
01/02/1992,2.588859589
01/03/1992,3.787065904
01/04/1992,2.428294262
01/05/1992,2.802321542
01/06/1992,4.288908939
01/07/1992,1.77845401
01/08/1992,2.117272656
01/09/1992,1.864709581
01/10/1992,3.783837809
01/11/1992,3.275941898
01/12/1992,1.878013906
01/01/1993,3.442923848
01/02/1993,2.296625869
01/03/1993,1.700795936
