DATE,unemployment_claims
29/07/1972,1928000
05/08/1972,1855000
12/08/1972,1812000
19/08/1972,1794000
26/08/1972,1792000
02/09/1972,1838000
09/09/1972,1802000
16/09/1972,1799000
23/09/1972,1791000
30/09/1972,1763000
07/10/1972,1771000
14/10/1972,1760000
21/10/1972,1733000
28/10/1972,1750000
04/11/1972,1722000
11/11/1972,1736000
18/11/1972,1727000
25/11/1972,1743000
02/12/1972,1676000
09/12/1972,1681000
16/12/1972,1756000
23/12/1972,1697000
30/12/1972,1663000
06/01/1973,1617000
13/01/1973,1660000
20/01/1973,1607000
27/01/1973,1601000
03/02/1973,1596000
10/02/1973,1594000
17/02/1973,1582000
24/02/1973,1582000
03/03/1973,1579000
10/03/1973,1584000
17/03/1973,1578000
24/03/1973,1562000
31/03/1973,1547000
07/04/1973,1552000
14/04/1973,1539000
21/04/1973,1573000
28/04/1973,1551000
05/05/1973,1560000
12/05/1973,1557000
19/05/1973,1553000
26/05/1973,1567000
02/06/1973,1556000
09/06/1973,1563000
16/06/1973,1576000
23/06/1973,1570000
30/06/1973,1571000
07/07/1973,1605000
14/07/1973,1605000
21/07/1973,1594000
28/07/1973,1603000
04/08/1973,1633000
11/08/1973,1679000
18/08/1973,1672000
25/08/1973,1675000
01/09/1973,1681000
08/09/1973,1688000
15/09/1973,1666000
22/09/1973,1658000
29/09/1973,1658000
06/10/1973,1657000
13/10/1973,1679000
20/10/1973,1646000
27/10/1973,1675000
03/11/1973,1669000
10/11/1973,1702000
17/11/1973,1698000
24/11/1973,1755000
01/12/1973,1692000
08/12/1973,1717000
15/12/1973,1779000
22/12/1973,1836000
29/12/1973,1805000
05/01/1974,1934000
12/01/1974,1949000
19/01/1974,1995000
26/01/1974,1950000
02/02/1974,1963000
09/02/1974,2010000
16/02/1974,2049000
23/02/1974,2027000
02/03/1974,2020000
09/03/1974,2054000
16/03/1974,2068000
23/03/1974,2074000
30/03/1974,2062000
06/04/1974,2066000
13/04/1974,2072000
20/04/1974,2081000
27/04/1974,2045000
04/05/1974,2056000
11/05/1974,2041000
18/05/1974,2053000
25/05/1974,2057000
01/06/1974,2079000
08/06/1974,2067000
15/06/1974,2095000
22/06/1974,2066000
29/06/1974,2074000
06/07/1974,2160000
13/07/1974,2125000
20/07/1974,2109000
27/07/1974,2097000
03/08/1974,2147000
10/08/1974,2171000
17/08/1974,2168000
24/08/1974,2172000
31/08/1974,2211000
07/09/1974,2265000
14/09/1974,2274000
21/09/1974,2273000
28/09/1974,2306000
05/10/1974,2360000
12/10/1974,2396000
19/10/1974,2519000
26/10/1974,2520000
02/11/1974,2623000
09/11/1974,2699000
16/11/1974,2862000
23/11/1974,2748000
30/11/1974,3086000
07/12/1974,3178000
14/12/1974,3291000
21/12/1974,3300000
28/12/1974,3396000
04/01/1975,3554000
11/01/1975,3557000
18/01/1975,3658000
25/01/1975,3708000
01/02/1975,3738000
08/02/1975,3856000
15/02/1975,3863000
22/02/1975,3969000
01/03/1975,4023000
08/03/1975,4147000
15/03/1975,4195000
22/03/1975,4201000
29/03/1975,4310000
05/04/1975,4428000
12/04/1975,4449000
19/04/1975,4497000
26/04/1975,4520000
03/05/1975,4604000
10/05/1975,4597000
17/05/1975,4592000
24/05/1975,4461000
31/05/1975,4637000
07/06/1975,4484000
14/06/1975,4529000
21/06/1975,4406000
28/06/1975,4090000
05/07/1975,4239000
12/07/1975,4057000
19/07/1975,4208000
26/07/1975,4075000
02/08/1975,4015000
09/08/1975,4028000
16/08/1975,3934000
23/08/1975,3940000
30/08/1975,3854000
06/09/1975,3969000
13/09/1975,3880000
20/09/1975,3880000
27/09/1975,3851000
04/10/1975,3868000
11/10/1975,3675000
18/10/1975,3720000
25/10/1975,3662000
01/11/1975,3607000
08/11/1975,3546000
15/11/1975,3551000
22/11/1975,3377000
29/11/1975,3391000
06/12/1975,3331000
13/12/1975,3266000
20/12/1975,3124000
27/12/1975,3072000
03/01/1976,3214000
10/01/1976,3084000
17/01/1976,3026000
24/01/1976,2957000
31/01/1976,2895000
07/02/1976,2912000
14/02/1976,2867000
21/02/1976,2862000
28/02/1976,2822000
06/03/1976,2853000
13/03/1976,2837000
20/03/1976,2852000
27/03/1976,2830000
03/04/1976,2859000
10/04/1976,2840000
17/04/1976,2890000
24/04/1976,2900000
01/05/1976,2940000
08/05/1976,2941000
15/05/1976,2947000
22/05/1976,2961000
29/05/1976,2916000
05/06/1976,2970000
12/06/1976,2950000
19/06/1976,3003000
26/06/1976,3035000
03/07/1976,2958000
10/07/1976,2995000
17/07/1976,3011000
24/07/1976,3019000
31/07/1976,2996000
07/08/1976,3007000
14/08/1976,2990000
21/08/1976,2983000
28/08/1976,3081000
04/09/1976,2988000
11/09/1976,3092000
18/09/1976,3097000
25/09/1976,3103000
02/10/1976,3104000
09/10/1976,3119000
16/10/1976,3074000
23/10/1976,3088000
30/10/1976,3080000
06/11/1976,3079000
13/11/1976,3064000
20/11/1976,3061000
27/11/1976,3019000
04/12/1976,2994000
11/12/1976,2978000
18/12/1976,2900000
25/12/1976,2822000
01/01/1977,2818000
08/01/1977,2764000
15/01/1977,2841000
22/01/1977,2834000
29/01/1977,2879000
05/02/1977,2956000
12/02/1977,2904000
19/02/1977,2772000
26/02/1977,2764000
05/03/1977,2717000
12/03/1977,2728000
19/03/1977,2695000
26/03/1977,2671000
02/04/1977,2655000
09/04/1977,2717000
16/04/1977,2680000
23/04/1977,2660000
30/04/1977,2644000
07/05/1977,2618000
14/05/1977,2635000
21/05/1977,2647000
28/05/1977,2625000
04/06/1977,2650000
11/06/1977,2589000
18/06/1977,2622000
25/06/1977,2616000
02/07/1977,2572000
09/07/1977,2563000
16/07/1977,2591000
23/07/1977,2584000
30/07/1977,2605000
06/08/1977,2605000
13/08/1977,2618000
20/08/1977,2612000
27/08/1977,2607000
03/09/1977,2571000
10/09/1977,2601000
17/09/1977,2605000
24/09/1977,2581000
01/10/1977,2583000
08/10/1977,2575000
15/10/1977,2575000
22/10/1977,2561000
29/10/1977,2587000
05/11/1977,2535000
12/11/1977,2592000
19/11/1977,2527000
26/11/1977,2620000
03/12/1977,2505000
10/12/1977,2529000
17/12/1977,2558000
24/12/1977,2482000
31/12/1977,2461000
07/01/1978,2456000
14/01/1978,2418000
21/01/1978,2522000
28/01/1978,2578000
04/02/1978,2468000
11/02/1978,2656000
18/02/1978,2545000
25/02/1978,2553000
04/03/1978,2529000
11/03/1978,2526000
18/03/1978,2471000
25/03/1978,2473000
01/04/1978,2453000
08/04/1978,2397000
15/04/1978,2339000
22/04/1978,2287000
29/04/1978,2272000
06/05/1978,2246000
13/05/1978,2231000
20/05/1978,2238000
27/05/1978,2211000
03/06/1978,2224000
10/06/1978,2189000
17/06/1978,2225000
24/06/1978,2249000
01/07/1978,2242000
08/07/1978,2331000
15/07/1978,2328000
22/07/1978,2321000
29/07/1978,2344000
05/08/1978,2395000
12/08/1978,2422000
19/08/1978,2405000
26/08/1978,2370000
02/09/1978,2336000
09/09/1978,2278000
16/09/1978,2271000
23/09/1978,2247000
30/09/1978,2217000
07/10/1978,2219000
14/10/1978,2274000
21/10/1978,2207000
28/10/1978,2222000
04/11/1978,2188000
11/11/1978,2200000
18/11/1978,2158000
25/11/1978,2349000
02/12/1978,2248000
09/12/1978,2292000
16/12/1978,2328000
23/12/1978,2276000
30/12/1978,2289000
06/01/1979,2366000
13/01/1979,2368000
20/01/1979,2403000
27/01/1979,2393000
03/02/1979,2411000
10/02/1979,2412000
17/02/1979,2383000
24/02/1979,2451000
03/03/1979,2451000
10/03/1979,2413000
17/03/1979,2377000
24/03/1979,2353000
31/03/1979,2335000
07/04/1979,2368000
14/04/1979,2467000
21/04/1979,2408000
28/04/1979,2351000
05/05/1979,2292000
12/05/1979,2261000
19/05/1979,2238000
26/05/1979,2246000
02/06/1979,2260000
09/06/1979,2207000
16/06/1979,2234000
23/06/1979,2275000
30/06/1979,2282000
07/07/1979,2368000
14/07/1979,2356000
21/07/1979,2335000
28/07/1979,2375000
04/08/1979,2422000
11/08/1979,2466000
18/08/1979,2474000
25/08/1979,2471000
01/09/1979,2448000
08/09/1979,2432000
15/09/1979,2431000
22/09/1979,2404000
29/09/1979,2426000
06/10/1979,2428000
13/10/1979,2535000
20/10/1979,2475000
27/10/1979,2522000
03/11/1979,2569000
10/11/1979,2537000
17/11/1979,2656000
24/11/1979,2648000
01/12/1979,2698000
08/12/1979,2685000
15/12/1979,2712000
22/12/1979,2674000
29/12/1979,2725000
05/01/1980,2749000
12/01/1980,2778000
19/01/1980,2783000
26/01/1980,2817000
02/02/1980,2864000
09/02/1980,2867000
16/02/1980,2877000
23/02/1980,2866000
01/03/1980,2848000
08/03/1980,2883000
15/03/1980,2888000
22/03/1980,2921000
29/03/1980,2866000
05/04/1980,3007000
