DATE,imports (million USD)
01/02/2007,139793
01/03/2007,161363
01/04/2007,156583
01/05/2007,163323
01/06/2007,164462
01/07/2007,166765
01/08/2007,170766
01/09/2007,162772
01/10/2007,182044
01/11/2007,175663
01/12/2007,162594
01/01/2008,168350.2
01/02/2008,165069.7
01/03/2008,171194
01/04/2008,182115.1
01/05/2008,182956.3
01/06/2008,190117.1
01/07/2008,202614.4
01/08/2008,189874.9
01/09/2008,180189
01/10/2008,185882.2
01/11/2008,147515
01/12/2008,137762.9
01/01/2009,122414.6
01/02/2009,109012.2
01/03/2009,121358.7
01/04/2009,118895.8
01/05/2009,116341.5
01/06/2009,127173.2
01/07/2009,135695.8
01/08/2009,131271.6
01/09/2009,141004.5
01/10/2009,147026.9
01/11/2009,143324.3
01/12/2009,146105.8
01/01/2010,136725.4
01/02/2010,133898.8
01/03/2010,157728.8
01/04/2010,153165
01/05/2010,156153.2
01/06/2010,168323.6
01/07/2010,163910
01/08/2010,171004.1
01/09/2010,167120.3
01/10/2010,170320.1
01/11/2010,168989.2
01/12/2010,166518.1
01/01/2011,167048.1
01/02/2011,156320.7
01/03/2011,185977.7
01/04/2011,178293.5
01/05/2011,188953.4
01/06/2011,191582.1
01/07/2011,187230.2
01/08/2011,196337.8
01/09/2011,189566.8
01/10/2011,191809.6
01/11/2011,190317.8
01/12/2011,184516.6
01/01/2012,183533.2
01/02/2012,171831.1
01/03/2012,197350.1
01/04/2012,189466.2
01/05/2012,198409.6
01/06/2012,191786.7
01/07/2012,192838.7
01/08/2012,194941.5
01/09/2012,185682.8
01/10/2012,198767.1
01/11/2012,194553.2
01/12/2012,177106.9
01/01/2013,185168.6
01/02/2013,170322.9
01/03/2013,181850.7
01/04/2013,190555.3
01/05/2013,196685.4
01/06/2013,184930.5
01/07/2013,197311.7
01/08/2013,193050.7
01/09/2013,191940.9
01/10/2013,205089.7
01/11/2013,188617.8
01/12/2013,182462.7
01/01/2014,186070.1
01/02/2014,170711.2
01/03/2014,194612.9
01/04/2014,201243.8
01/05/2014,200859.9
01/06/2014,198353
01/07/2014,205134.2
01/08/2014,197312.1
01/09/2014,203729.7
01/10/2014,211643.1
01/11/2014,190689.7
01/12/2014,195996.5
01/01/2015,181220.3
01/02/2015,162949.7
01/03/2015,198235.3
01/04/2015,190066.4
