DATE,personal_saving_rate
01/06/1983,9.1
01/07/1983,9.6
01/08/1983,9.2
01/09/1983,9.6
01/10/1983,9.7
01/11/1983,10.3
01/12/1983,10.1
01/01/1984,10
01/02/1984,11.7
01/03/1984,11.5
01/04/1984,11.5
01/05/1984,11.1
01/06/1984,11.1
01/07/1984,11.6
01/08/1984,11.8
01/09/1984,11.8
01/10/1984,11.7
01/11/1984,10.9
01/12/1984,11.2
01/01/1985,10.3
01/02/1985,9.1
01/03/1985,8.7
01/04/1985,9.9
01/05/1985,11.1
01/06/1985,9.6
01/07/1985,9.1
01/08/1985,8.2
01/09/1985,7.3
01/10/1985,9.1
01/11/1985,9
01/12/1985,8.6
01/01/1986,8.6
01/02/1986,9.3
01/03/1986,9.9
01/04/1986,9.7
01/05/1986,9.3
01/06/1986,9.4
01/07/1986,9.3
01/08/1986,9
01/09/1986,7.2
01/10/1986,8.4
01/11/1986,8.8
01/12/1986,7
01/01/1987,9.7
01/02/1987,8.5
01/03/1987,8.5
01/04/1987,4.5
01/05/1987,8.2
01/06/1987,7.7
01/07/1987,7.5
01/08/1987,7.2
01/09/1987,7.6
01/10/1987,8.3
01/11/1987,8.5
01/12/1987,8.7
01/01/1988,8.1
01/02/1988,8.6
01/03/1988,8.2
01/04/1988,8.8
01/05/1988,8.4
01/06/1988,8.4
01/07/1988,8.6
01/08/1988,8.4
01/09/1988,8.9
01/10/1988,8.6
01/11/1988,8.4
01/12/1988,8.3
01/01/1989,8.5
01/02/1989,9
01/03/1989,9.5
01/04/1989,8.4
01/05/1989,8.1
01/06/1989,8.2
01/07/1989,8.2
01/08/1989,7.6
01/09/1989,8.1
01/10/1989,8.5
01/11/1989,8.6
01/12/1989,7.8
01/01/1990,8
01/02/1990,8.6
01/03/1990,8.3
01/04/1990,8.8
01/05/1990,8.7
01/06/1990,8.6
01/07/1990,8.7
01/08/1990,8.1
01/09/1990,8.1
01/10/1990,7.8
01/11/1990,7.9
01/12/1990,8.8
01/01/1991,9.3
01/02/1991,8.8
01/03/1991,8
01/04/1991,8.6
01/05/1991,8.4
01/06/1991,8.9
01/07/1991,8.2
01/08/1991,8.6
01/09/1991,8.8
01/10/1991,9.3
01/11/1991,9
01/12/1991,9.7
01/01/1992,9.4
01/02/1992,9.8
01/03/1992,9.7
01/04/1992,9.9
01/05/1992,9.9
01/06/1992,10.1
01/07/1992,9.6
01/08/1992,9.7
01/09/1992,8.7
01/10/1992,8
01/11/1992,8
01/12/1992,10.6
01/01/1993,8.6
01/02/1993,8.9
01/03/1993,8.9
01/04/1993,8.7
01/05/1993,8.3
01/06/1993,7.8
01/07/1993,7.6
01/08/1993,7.7
01/09/1993,6.9
01/10/1993,6.3
01/11/1993,6.3
01/12/1993,9.1
01/01/1994,7.1
01/02/1994,6.5
01/03/1994,6.8
01/04/1994,6.4
01/05/1994,7.6
01/06/1994,6.9
01/07/1994,7
01/08/1994,6.5
01/09/1994,6.8
01/10/1994,7.1
01/11/1994,7
01/12/1994,7.2
01/01/1995,7.5
01/02/1995,7.8
01/03/1995,7.5
01/04/1995,6.9
01/05/1995,7.1
01/06/1995,6.7
01/07/1995,7.1
01/08/1995,6.7
01/09/1995,6.8
01/10/1995,7.1
01/11/1995,6.6
01/12/1995,6.1
01/01/1996,6.7
01/02/1996,6.7
01/03/1996,6.6
01/04/1996,5.7
01/05/1996,6.7
01/06/1996,7.1
01/07/1996,6.7
01/08/1996,6.6
01/09/1996,6.7
01/10/1996,6.4
01/11/1996,6.4
01/12/1996,6.4
01/01/1997,6.2
01/02/1997,6.2
01/03/1997,6.4
01/04/1997,6.5
01/05/1997,6.8
01/06/1997,6.6
01/07/1997,6.1
01/08/1997,6
01/09/1997,6.2
01/10/1997,6.2
01/11/1997,6.4
01/12/1997,6.4
01/01/1998,7.4
01/02/1998,7.4
01/03/1998,7.5
01/04/1998,7.2
01/05/1998,6.9
01/06/1998,6.8
01/07/1998,6.9
01/08/1998,6.8
01/09/1998,6.4
01/10/1998,6.2
01/11/1998,6.3
01/12/1998,5.8
01/01/1999,6.4
01/02/1999,6.3
01/03/1999,6
01/04/1999,5
01/05/1999,4.8
01/06/1999,4.7
01/07/1999,4.8
01/08/1999,4.7
01/09/1999,4.1
01/10/1999,4.4
01/11/1999,4.6
01/12/1999,4.2
01/01/2000,5
01/02/2000,4.5
01/03/2000,4.3
01/04/2000,4.8
01/05/2000,4.8
01/06/2000,4.8
01/07/2000,5.1
01/08/2000,5.2
01/09/2000,4.5
01/10/2000,4.8
01/11/2000,4.7
01/12/2000,4.4
01/01/2001,4.9
01/02/2001,5
01/03/2001,5.3
01/04/2001,5.1
01/05/2001,4.5
01/06/2001,4.4
01/07/2001,5.6
01/08/2001,6.6
01/09/2001,7
01/10/2001,3.1
01/11/2001,3.5
01/12/2001,3.8
01/01/2002,5.7
01/02/2002,5.5
01/03/2002,5.6
01/04/2002,5.5
01/05/2002,6.2
01/06/2002,6.2
01/07/2002,5.4
01/08/2002,5.4
01/09/2002,5.9
01/10/2002,5.8
01/11/2002,5.8
01/12/2002,5.4
01/01/2003,5.4
01/02/2003,5.3
01/03/2003,5
01/04/2003,5.1
01/05/2003,5.5
01/06/2003,5.3
01/07/2003,6.1
01/08/2003,5.9
01/09/2003,5.1
01/10/2003,5.3
01/11/2003,5.3
01/12/2003,5.2
01/01/2004,4.9
01/02/2004,4.9
01/03/2004,4.7
01/04/2004,5.1
01/05/2004,5.1
01/06/2004,5.6
01/07/2004,5
01/08/2004,5
01/09/2004,4.4
01/10/2004,4.3
01/11/2004,3.8
01/12/2004,6.6
01/01/2005,3.2
01/02/2005,2.9
01/03/2005,3.1
01/04/2005,2.7
01/05/2005,3.2
01/06/2005,2.6
01/07/2005,2.1
01/08/2005,2.6
01/09/2005,2.7
01/10/2005,2.9
01/11/2005,3.2
01/12/2005,3.1
01/01/2006,3.7
01/02/2006,3.9
01/03/2006,4.1
01/04/2006,3.8
01/05/2006,3.6
01/06/2006,3.7
01/07/2006,3.1
01/08/2006,3.3
01/09/2006,3.2
01/10/2006,3.2
01/11/2006,3.6
01/12/2006,3.5
01/01/2007,3.2
01/02/2007,3.6
01/03/2007,3.9
01/04/2007,3.8
01/05/2007,3.6
01/06/2007,3.5
01/07/2007,3.4
01/08/2007,3.1
01/09/2007,3.1
01/10/2007,3
01/11/2007,2.8
01/12/2007,3.2
01/01/2008,3.2
01/02/2008,3.6
01/03/2008,3.4
01/04/2008,2.9
01/05/2008,7.3
01/06/2008,5.1
01/07/2008,4
01/08/2008,3.5
01/09/2008,4.3
01/10/2008,5.2
01/11/2008,6.3
