DATE,exports (million USD)
01/05/2006,86969.04238
01/06/2006,89730.57226
01/07/2006,79354.30356
01/08/2006,88245.68865
01/09/2006,87545.48382
01/10/2006,91664.54085
01/11/2006,90044.40964
01/12/2006,87839.19802
01/01/2007,85127.84519
01/02/2007,83797.2219
01/03/2007,99459.16134
01/04/2007,90877.42626
01/05/2007,96726.3063
01/06/2007,97885.68894
01/07/2007,90650.34175
01/08/2007,99866.60946
01/09/2007,96865.82106
01/10/2007,104975.62
01/11/2007,101936.2229
01/12/2007,100030.4571
01/01/2008,98677.0516
01/02/2008,104740.0354
01/03/2008,110931.6619
01/04/2008,109856.6546
01/05/2008,112626.9961
01/06/2008,116787.3814
01/07/2008,114522.2932
01/08/2008,116417.7713
01/09/2008,106071.9492
01/10/2008,111238.6211
01/11/2008,97085.41624
01/12/2008,88486.16477
01/01/2009,78150.57881
01/02/2009,80349.278
01/03/2009,87847.9631
01/04/2009,80822.45317
01/05/2009,83651.04999
01/06/2009,86829.51161
01/07/2009,85634.74823
01/08/2009,87315.10033
01/09/2009,91458.40523
01/10/2009,100005.4934
01/11/2009,94606.51389
01/12/2009,99371.86723
01/01/2010,92600.63234
01/02/2010,93858.17667
01/03/2010,110510.2057
01/04/2010,102477.4418
01/05/2010,105463.2764
01/06/2010,107153.1951
01/07/2010,104051.1844
01/08/2010,106871.2898
01/09/2010,107683.1451
01/10/2010,117262.131
01/11/2010,113116.9602
01/12/2010,117446.8871
01/01/2011,110183.3699
01/02/2011,109541.4461
01/03/2011,131725.7588
01/04/2011,124052.0724
01/05/2011,124235.6605
01/06/2011,125000.6423
01/07/2011,120262.1127
01/08/2011,126731.9477
01/09/2011,127032.0736
01/10/2011,131099.3916
01/11/2011,125752.0467
01/12/2011,126891.233
01/01/2012,117838.6287
01/02/2012,123612.3021
01/03/2012,140219.0653
01/04/2012,127411.4422
01/05/2012,131233.0787
01/06/2012,132578.8967
01/07/2012,121408.1362
01/08/2012,128583.0191
01/09/2012,128259.9725
01/10/2012,133718.216
01/11/2012,130204.3749
01/12/2012,130753.7077
01/01/2013,123031.8791
01/02/2013,123443.6339
01/03/2013,136642.1571
01/04/2013,129460.6208
01/05/2013,132968.7041
01/06/2013,134550.4102
01/07/2013,127280.8722
01/08/2013,132584.0079
01/09/2013,128377.5554
01/10/2013,142061.2506
01/11/2013,136200.3292
01/12/2013,131915.4595
01/01/2014,126619.206
01/02/2014,123630.4181
01/03/2014,142289.9322
01/04/2014,133990.0504
01/05/2014,138181.9846
01/06/2014,138482.4475
01/07/2014,133326.6459
01/08/2014,137625.8374
01/09/2014,133668.6136
01/10/2014,145613.9235
01/11/2014,134722.6802
01/12/2014,133722.0535
01/01/2015,120872.3566
01/02/2015,118233.7294
01/03/2015,133668.7633
01/04/2015,128499.6472
01/05/2015,128206.2762
01/06/2015,130976.3398
01/07/2015,124242.8854
01/08/2015,122758.8798
01/09/2015,124915.0799
01/10/2015,130301.5841
01/11/2015,120541.147
01/12/2015,120111.6611
01/01/2016,107960.2975
01/02/2016,113460.3766
01/03/2016,125527.1126
01/04/2016,118712.6501
01/05/2016,119616.272
01/06/2016,125098.4723
01/07/2016,115804.9812
01/08/2016,122657.9004
01/09/2016,124482.7466
01/10/2016,128525.2882
01/11/2016,122999.2305
01/12/2016,126614.3558
01/01/2017,117528.0215
01/02/2017,119234.1579
01/03/2017,135977.0293
01/04/2017,123925.2794
01/05/2017,127881.1343
01/06/2017,132711.172
01/07/2017,122201.6542
01/08/2017,129236.5633
01/09/2017,130342.868
01/10/2017,136312.4972
01/11/2017,135681.5467
01/12/2017,136163.479
01/01/2018,125038.4596
01/02/2018,128218.7529
01/03/2018,149561.8319
01/04/2018,138230.3922
01/05/2018,145527.656
01/06/2018,145498.5465
01/07/2018,133808.2435
01/08/2018,140217.8086
01/09/2018,139388.9086
01/10/2018,147081.9404
01/11/2018,139278.2056
01/12/2018,133936.1412
01/01/2019,129868.7368
01/02/2019,130075.0813
01/03/2019,148549.3765
01/04/2019,135077.3578
01/05/2019,142531.1969
01/06/2019,138284.047
01/07/2019,133435.9943
01/08/2019,138665.3526
01/09/2019,134381.9107
01/10/2019,142478.6041
01/11/2019,137137.0557
01/12/2019,135455.6248
01/01/2020,129119.5407
01/02/2020,131116.9867
01/03/2020,133295.7492
01/04/2020,94708.95458
01/05/2020,91026.76498
01/06/2020,105122.4447
01/07/2020,113303.5359
01/08/2020,118351.8156
01/09/2020,121447.9003
01/10/2020,132638.4927
01/11/2020,127232.2081
01/12/2020,132631.0106
01/01/2021,128162.0276
01/02/2021,124181.9722
01/03/2021,152670.6311
01/04/2021,144017.6937
01/05/2021,145815.2098
01/06/2021,148067.4593
01/07/2021,144269.7513
01/08/2021,148295.1886
01/09/2021,142338.9425
01/10/2021,164137.5881
01/11/2021,156533.1846
01/12/2021,159331.9192
01/01/2022,147848.0392
01/02/2022,150555.1821
01/03/2022,179313.7556
01/04/2022,173533.9427
01/05/2022,179047.5211
01/06/2022,182662.8896
01/07/2022,175896.8296
01/08/2022,181182.273
01/09/2022,175979.9396
01/10/2022,180101.3678
01/11/2022,171279.8923
01/12/2022,167755.3389
01/01/2023,165342.1558
01/02/2023,158850.8331
01/03/2023,184620.5043
01/04/2023,162063.6815
01/05/2023,167127.5809
01/06/2023,167303.0117
01/07/2023,159618.8567
01/08/2023,171404.503
01/09/2023,171272.3367
01/10/2023,178083.6472
